Time	[0:22]	[0:23]	[0:24]	[0:25]	[0:26]	[12:1]	[12:2]	[12:3]	[12:4]	[12:6]	[12:7]	[12:8]	[12:9]	[12:10]	[12:11]	[13:0]	[13:2]	[13:4]	[13:6]	[14:21]	[14:22]	[14:23]	[14:24]	[14:25]	[35:12]	[36:12]	[37:12]	[38:12]	[39:12]
time	Std1LinSpdRef	Std2LinSpdRef	Std3LinSpdRef	Std4LinSpdRef	Std5LinSpdRef	InterStd12TenRef	InterStd23TenRef	InterStd34TenRef	InterStd45TenRef	InterStd01TenActFlt	InterStd12TenActFlt	InterStd23TenActFlt	InterStd34TenActFlt	InterStd45TenActFlt	InterStd5TenrTenActFlt	X0.ThkAct	X1.ThkAct	X4.ThkAct	X5A.ThkAct	Std1ThkRef	Std2ThkRef	Std3ThkRef	Std4ThkRef	Std5ThkRef	1#HgcSrgActOS	2#HgcSrgActOS	3#HgcSrgActOS	4#HgcSrgActOS	5#HgcSrgActOS	
0	193.94	312.781	479.963	797.784	1200	17.832	11.762	7.928	4.94	11.0464	18.3707	11.7804	7.97447	4.96558	1.4841	2.18923	1.49724	0.373062	0.253301	1.505	0.934	0.607	0.37	0.252	1.76502	0.862991	0.759003	1.31897	2.96485
0.002	193.94	312.781	479.963	797.784	1200	17.832	11.762	7.928	4.94	11.0464	18.3707	11.7804	7.97447	4.96558	1.4841	2.18923	1.49724	0.373062	0.253301	1.505	0.934	0.607	0.37	0.252	1.76502	0.862991	0.759003	1.31897	2.96485
0.004	193.94	312.781	479.963	797.784	1200	17.832	11.762	7.928	4.94	11.0464	18.3707	11.7804	7.97447	4.96558	1.4841	2.18923	1.49724	0.373062	0.253301	1.505	0.934	0.607	0.37	0.252	1.76502	0.862991	0.759003	1.31897	2.96485
0.006	193.94	312.781	479.963	797.784	1200	17.832	11.762	7.928	4.94	11.0464	18.3707	11.7804	7.97447	4.96558	1.4841	2.18679	1.49724	0.370612	0.253333	1.505	0.934	0.607	0.37	0.252	1.76407	0.863632	0.759399	1.31895	2.96445
0.008	193.94	312.781	479.963	797.784	1200	17.832	11.762	7.928	4.94	11.0464	18.3707	11.7804	7.97447	4.96558	1.4841	2.18679	1.49724	0.370612	0.253333	1.505	0.934	0.607	0.37	0.252	1.76407	0.863632	0.759399	1.31895	2.96445
0.01	193.94	312.781	479.963	797.784	1200	17.832	11.762	7.928	4.94	11.0464	18.3707	11.7804	7.97447	4.96558	1.4841	2.18679	1.49724	0.370612	0.253333	1.505	0.934	0.607	0.37	0.252	1.76407	0.863632	0.759399	1.31895	2.96445
0.012	193.94	312.781	479.963	797.784	1200	17.832	11.762	7.928	4.94	11.0464	18.3707	11.7804	7.97447	4.96558	1.4841	2.18679	1.49724	0.370612	0.253333	1.505	0.934	0.607	0.37	0.252	1.76407	0.863632	0.759399	1.31895	2.96445
0.014	193.94	312.781	479.963	797.784	1200	17.832	11.762	7.928	4.94	11.0464	18.3707	11.7804	7.97447	4.96558	1.4841	2.18679	1.49724	0.370612	0.253333	1.505	0.934	0.607	0.37	0.252	1.76407	0.863632	0.759399	1.31895	2.96445
0.016	194.187	312.984	480.275	798.303	1200	17.832	11.762	7.928	4.94	11.0464	18.3707	11.7804	7.97447	4.96558	1.4841	2.18679	1.49724	0.370612	0.253321	1.505	0.934	0.607	0.37	0.252	1.764	0.863174	0.760605	1.31802	2.96336
